Timestamp,TimeInMs,BlinkRate(perminute),CurrentEyeBehavior,LengthofBehavior,VelocityofBehavior,RespiratoryFrequenct(perminute),CurrentAccelX,CurrentAccelY,CurrentAccelZ,CurrentAngVelX,CurrentAngVelY,CurrentAngVelZ
07_07_2023__10_36_39,1688740599567,0,None,0,0,0,0.7128952,-0.6621484,-0.2493425,0.01597945,-0.02077329,0.02237124
07_07_2023__10_36_39,1688740599584,0,None,0,0,0,0.7128952,-0.6621484,-0.2493425,0.01597945,-0.02077329,0.02237124
07_07_2023__10_36_39,1688740599600,0,None,0,0,0,0.7128952,-0.6621484,-0.2493425,0.01597945,-0.02450183,0.02183859
07_07_2023__10_36_39,1688740599617,0,None,0,0,0,0.7131391,-0.6619043,-0.2493425,0.01278356,-0.02876302,0.02183859
07_07_2023__10_36_39,1688740599633,0,None,0,0,0,0.7131391,-0.6619043,-0.2493425,0.01278356,-0.02876302,0.02183859
07_07_2023__10_36_39,1688740599651,0,None,0,0,0,0.7131391,-0.6619043,-0.2493425,0.01171827,-0.02823037,0.02077329
07_07_2023__10_36_39,1688740599667,0,None,0,0,0,0.7131391,-0.6619043,-0.2493425,0.01438151,-0.02716507,0.02183859
07_07_2023__10_36_39,1688740599684,0,None,0,0,0,0.7175307,-0.6643441,-0.2483666,0.01597945,-0.02716507,0.02290388
07_07_2023__10_36_39,1688740599701,0,None,0,0,0,0.7175307,-0.6643441,-0.2483666,0.01597945,-0.02716507,0.02290388
07_07_2023__10_36_39,1688740599717,0,None,0,0,0,0.7175307,-0.6643441,-0.2483666,0.01438151,-0.02343653,0.02396918
07_07_2023__10_36_39,1688740599734,0,None,0,0,0,0.7175307,-0.6643441,-0.2483666,0.01384886,-0.02503448,0.02609978
07_07_2023__10_36_39,1688740599751,0,None,0,0,0,0.7150909,-0.6616604,-0.2422673,0.01384886,-0.02503448,0.02609978
07_07_2023__10_36_39,1688740599767,0,None,0,0,0,0.714359,-0.6597086,-0.2422673,0.01278356,-0.02823037,0.02609978
07_07_2023__10_36_39,1688740599784,0,Pursuit,0,44.685733795166,0,0.714359,-0.6597086,-0.2422673,0.005326485,-0.03781804,0.02343653
07_07_2023__10_36_39,1688740599801,0,Pursuit,0,44.685733795166,0,0.714359,-0.6597086,-0.2422673,-0.003195891,-0.05006896,0.0165121
07_07_2023__10_36_39,1688740599818,0,None,0,0,0,0.7097235,-0.6584888,-0.2434871,-0.003195891,-0.05006896,0.0165121
07_07_2023__10_36_39,1688740599834,0,None,0,0,0,0.7106994,-0.6582447,-0.244951,-0.006391782,-0.0537975,0.02130594
07_07_2023__10_36_39,1688740599851,0,None,0,0,0,0.7106994,-0.6582447,-0.244951,-0.005859133,-0.04687307,0.02396918
07_07_2023__10_36_39,1688740599867,0,None,0,0,0,0.7106994,-0.6582447,-0.244951,-0.005859133,-0.04687307,0.02396918
07_07_2023__10_36_39,1688740599884,0,Saccade,0,97.6692047119141,0,0.7194825,-0.6604405,-0.2486106,-0.003195891,-0.04207923,0.02237124
07_07_2023__10_36_39,1688740599901,0,Saccade,0,97.6692047119141,0,0.7170427,-0.6609285,-0.2476347,0.002663242,-0.03941599,0.02663242
07_07_2023__10_36_39,1688740599918,0,Saccade,0.0333251953125,162.128356933594,0,0.7170427,-0.6609285,-0.2476347,0.002663242,-0.03941599,0.02663242
